Year,Title,Authors,CitationsJuly2018,Domain,Definition
2007,"Towards Real Time Epidemiology: Data Assimilation, Modeling and Anomaly Detection of Health Surveillance Data Streams","Luís M. A. Bettencourt, Ruy M. Ribeiro, Gerardo Chowell, Timothy Lant, Carlos Castillo-Chavez",27,gis,likelihood
2007,Network anomaly detection based on TCM-KNN algorithm,"Yang Li, Binxing Fang, Li Guo, You Chen",61,ids,similarity
2007,Incremental Local Outlier Detection for Data Streams,"Dragoljub Pokrajac, Aleksandar Lazarevic, Longin Jan Latecki",297,cross,similarity
2007,Anomaly Detection for Application Level Network Attacks Using Payload Keywords,"Like Zhang, Gregory B. White",29,ids,model
2007,A Sequential Monte Carlo Approach to Anomaly Detection in Tracking Visual Events,"Peng Cui, Lifeng Sun, Zhi-Qiang Liu, Shiqiang Yang",27,remote,likelihood
2007,Improving Voltage Assignment by Outlier Detection and Incremental Placement,"Huaizhi Wu, Martin D. F. Wong",23,others,similarity
2007,Correlation-Based Detection of Attribute Outliers,"Judice L. Y. Koh, Mong-Li Lee, Wynne Hsu, Kai-Tak Lam",27,cross,frequency
2007,Separating the Wheat from the Chaff: Practical Anomaly Detection Schemes in Ecological Applications of Distributed Sensor Networks,"Luís M. A. Bettencourt, Aric A. Hagberg, Levi B. Larkey",75,sense,likelihood
2007,Comparison of Outlier Detection Methods in Fault-proneness Models,"Shinsuke Matsumoto, Yasutaka Kamei, Akito Monden, Ken-ichi Matsumoto",28,cross,n/a
2007,An Approach to Outlier Detection of Software Measurement Data using the K-means Clustering Method,"Kyung-A Yoon, Oh-Sung Kwon, Doo-Hwan Bae",72,fault,cluster
2007,Typical Behavior Patterns Extraction and Anomaly Detection Algorithm Based on Accumulated Home Sensor Data,"Taketoshi Mori, Akinori Fujii, Masamichi Shimosaka, Hiroshi Noguchi, Tomomasa Sato",32,sense,likelihood
2007,Log summarization and anomaly detection for troubleshooting distributed systems,"Dan Gunter, Brian Tierney, Aaron Brown, D. Martin Swany, John Bresnahan, Jennifer M. Schopf",28,fault,likelihood
2007,Continuous Adaptive Outlier Detection on Distributed Data Streams,"Liang Su, Weihong Han, Shuqiang Yang, Peng Zou, Yan Jia",20,cross,likelihood
2007,Quarter Sphere Based Distributed Anomaly Detection in Wireless Sensor Networks,"Sutharshan Rajasegarar, Christopher Leckie, Marimuthu Palaniswami, James C. Bezdek",168,sense,model
2007,Feature Selection Using Rough-DPSO in Anomaly Intrusion Detection,"Anazida Zainal, Mohd Aizaini Maarof, Siti Mariyam Hj. Shamsuddin",55,ids,model
2007,Clustering Needles in a Haystack: An Information Theoretic Analysis of Minority and Outlier Detection,Shin Ando,53,cross,likelihood
2007,Fast Hyperspectral Anomaly Detection via SVDD,"Amit Banerjee, Philippe Burlina, Reuven Meth",56,remote,model
2007,Data fusion algorithms for network anomaly detection: classification and evaluation,"Vasilis Chatzigiannakis, Georgios Androulidakis, K. Pelechrinis, Symeon Papavassiliou, Vasilis Maglaris",45,ids,n/a
2007,Automatic Outlier Detection: A Bayesian Approach,"Jo-Anne Ting, Aaron D'Souza, Stefan Schaal",48,sense,likelihood
2007,An ARP-based Anomaly Detection Algorithm Using Hidden Markov Model in Enterprise Networks,"Yasser Yasami, M. Farahmand, V. Zargari",34,ids,likelihood
2007,Spatial Outlier Detection: A Graph-Based Approach,"Yufeng Kou, Chang-Tien Lu, Raimundo F. Dos Santos",33,gis,similarity
2007,A Scalable and Efficient Outlier Detection Strategy for Categorical Data,"Anna Koufakou, Enrique G. Ortiz, Michael Georgiopoulos, Georgios C. Anagnostopoulos, Kenneth M. Reynolds",70,cross,frequency
2007,Unsupervised Anomaly Detection,"David Guthrie, Louise Guthrie, Ben Allison, Yorick Wilks",23,cross,similarity
2007,Challenging the supremacy of traffic matrices in anomaly detection,"Augustin Soule, Fernando Silveira, Haakon Ringberg, Christophe Diot",22,ids,likelihood
2007,Multivariate Online Anomaly Detection Using Kernel Recursive Least Squares,"Tarem Ahmed, Mark Coates, Anukool Lakhina",139,ids,model
2007,An Approach to Detect Executable Content for Anomaly Based Network Intrusion Detection,"Like Zhang, Gregory B. White",35,ids,frequency
2007,A Kalman filter for robust outlier detection,"Jo-Anne Ting, Evangelos Theodorou, Stefan Schaal",94,cross,likelihood
2007,ECG Anomaly Detection via Time Series Analysis,"Mooi Choo Chuah, Fen Fu",64,health,similarity
2007,ANDES: an Anomaly Detection System for Wireless Sensor Networks,"Sumit Gupta, Rong Zheng, Albert M. K. Cheng",35,sense,frequency
2007,R-Capriccio: A Capacity Planning and Anomaly Detection Tool for Enterprise Services with Live Workloads,"Qi Zhang, Ludmila Cherkasova, Guy Mathews, Wayne Greene, Evgenia Smirni",77,fault,likelihood
2007,Outlier Detection with Kernel Density Functions,"Longin Jan Latecki, Aleksandar Lazarevic, Dragoljub Pokrajac",95,cross,similarity
2007,Outlier detection in sensor networks,"Bo Sheng, Qun Li, Weizhen Mao, Wen Jin",187,sense,likelihood
2007,Lightweight Anomaly Intrusion Detection in Wireless Sensor Networks,"Haiguang Chen, Peng Han, Xi Zhou, Chuanshan Gao",28,sense,rule
2007,Research on Hidden Markov Model for System Call Anomaly Detection,"Quan Qian, Mingjun Xin",20,ids,likelihood
2007,ODDC: Outlier Detection Using Distance Distribution Clustering,"Kun Niu, Chong Huang, Shubo Zhang, Junliang Chen",55,cross,cluster
2007,Macro Programming through Bayesian Networks: Distributed Inference and Anomaly Detection,"Marco Mamei, Radhika Nagpal",21,sense,likelihood
2007,Swaddler: An Approach for the Anomaly-Based Detection of State Violations in Web Applications,"Marco Cova, Davide Balzarotti, Viktoria Felmetsger, Giovanni Vigna",199,ids,n/a
2007,Comparing Anomaly Detection Techniques for HTTP,"Kenneth L. Ingham, Hajime Inoue",151,ids,n/a
2007,Anomaly detection and diagnosis in grid environments,"Lingyun Yang, Chuang Liu, Jennifer M. Schopf, Ian T. Foster",23,fault,model
2007,Distributed Top-K Outlier Detection from Astronomy Catalogs using the DEMAC System,"Haimonti Dutta, Chris Giannella, Kirk D. Borne, Hillol Kargupta",100,cross,model
2007,ROAM: Rule- and Motif-Based Anomaly Detection in Massive Moving Object Data Sets,"Xiaolei Li, Jiawei Han, Sangkyum Kim, Hector Gonzalez",115,gis,rule
2007,Sensitivity of PCA for traffic anomaly detection,"Haakon Ringberg, Augustin Soule, Jennifer Rexford, Christophe Diot",343,ids,model
2007,Learning motion patterns and anomaly detection by Human trajectory analysis,"Naohiko Suzuki, Kosuke Hirasawa, Kenichi Tanaka, Yoshinori Kobayashi, Yoichi Sato, Yozo Fujino",47,gis,likelihood
2007,Probabilistic Models for Anomaly Detection in Remote Sensor Data Streams,"Ethan W. Dereszynski, Thomas G. Dietterich",33,sense,likelihood
2008,Unsupervised anomaly detection in large databases using bayesian networks,"Antonio Cansado, Alvaro Soto",23,cross,likelihood
2008,Outlier detection using default reasoning,"Fabrizio Angiulli, Rachel Ben-Eliyahu-Zohary, Luigi Palopoli",20,cross,n/a
2008,Hidden semi-Markov model for anomaly detection,"Xiaobin Tan, Hongsheng Xi",36,ids,likelihood
2008,OutlierD: an R package for outlier detection using quantile regression on mass spectrometry data,"HyungJun Cho, Yang-jin Kim, Hee Jung Jung, Sang-Won Lee, Jae Won Lee",25,health,frequency
2008,Cancer outlier detection based on likelihood ratio test,Jianhua Hu,25,health,likelihood
2008,A lightweight web server anomaly detection method based on transductive scheme and genetic algorithms,"Yang Li, Li Guo, Zhihong Tian, Tianbo Lu",24,ids,similarity
2008,Processing of massive audit data streams for real-time anomaly intrusion detection,"Wei Wang, Xiaohong Guan, Xiangliang Zhang",78,ids,model
2008,Application-based anomaly intrusion detection with dynamic information flow analysis,"Wes Masri, Andy Podgurski",30,ids,cluster
2008,Outlier detection in two-stage semiparametric DEA models,"Andrew L. Johnson, Leon F. McGinnis",53,others,frequency
2008,DADICC: Intelligent system for anomaly detection in a combined cycle gas turbine plant,"Antonio L. Arranz Matía, Alberto Cruz, Miguel A. Sanz-Bobi, Pablo Ruíz, Josué Coutiño",28,fault,model
2008,Improving network anomaly detection via selective flow-based sampling,"Georgios Androulidakis, Symeon Papavassiliou",56,ids,likelihood
2008,Outrank: a Graph-Based Outlier Detection Framework Using Random Walk,"H. D. K. Moonesinghe, Pang-Ning Tan",40,cross,similarity
2008,A rough set approach to outlier detection,"Feng Jiang, Yuefei Sui, Cungen Cao",36,cross,frequency
2008,Baseline Profile Stability for Network Anomaly Detection,"Yoohwan Kim, Ju-Yeon Jo, Kyunghee Kim Suh",35,ids,n/a
2008,Ensemble methods for anomaly detection and distributed intrusion detection in Mobile Ad-Hoc Networks,"João B. D. Cabrera, Carlos Gutiérrez, Raman K. Mehra",83,ids,likelihood
2008,Local anomaly detection for mobile network monitoring,"Pekka Kumpulainen, Kimmo Hätönen",22,ids,model
2008,A Selective KPCA Algorithm Based on High-Order Statistics for Anomaly Detection in Hyperspectral Imagery.,"Yanfeng Gu, Ying Liu, Ye Zhang",91,remote,model
2008,Video Behavior Profiling for Anomaly Detection,"Tao Xiang, Shaogang Gong",300,remote,likelihood
2008,A projection pursuit algorithm for anomaly detection in hyperspectral imagery,"José A. Malpica, Juan G. Rejas, María Concepcion Alonso",47,remote,model
2008,Anomaly detection in hyperspectral imagery based on maximum entropy and nonparametric estimation,"Lin He, Quan Pan, Wei Di, Yuanqing Li",26,remote,likelihood
2008,A Cluster Validity Measure With Outlier Detection for Support Vector Clustering,"Jeen-Shing Wang, Jen-Chieh Chiang",80,cross,model
2008,Anomaly detection in wireless sensor networks,"Sutharshan Rajasegarar, Christopher Leckie, Marimuthu Palaniswami",202,sense,n/a
2008,Vertical and horizontal synchronization services with outlier detection in underwater acoustic networks,"Fei Hu, Yamin Malkawi, Sunil Kumar, Yang Xiao",33,sense,likelihood
2008,Evaluation of Anomaly Based Character Distribution Models in the Detection of SQL Injection Attacks.,"Mehdi Kiani, Andrew J. Clark, George M. Mohay",56,ids,likelihood
2008,Bridging the Gap between Data-Flow and Control-Flow Analysis for Anomaly Detection,"Peng Li, Hyundo Park, Debin Gao, Jianming Fu",21,ids,frequency
2008,Optimizing Fuzzy K-means for network anomaly detection using PSO,"Roya Ensafi, Soheila Dehghanzadeh, Mohammad R. Akbarzadeh-Totonchi",31,ids,cluster
2008,An image processing approach to traffic anomaly detection,"Romain Fontugne, Toshio Hirotsu, Kensuke Fukuda",22,ids,frequency
2008,Support Vector Machine for Outlier Detection in Breast Cancer Survivability Prediction,"Jaree Thongkam, Guandong Xu, Yanchun Zhang, Fuchun Huang",28,health,model
2008,Artificial Immune System Based Robot Anomaly Detection Engine for Fault Tolerant Robots,"Bojan Jakimovski, Erik Maehle",21,fault,rule
2008,New directions in privacy-preserving anomaly detection for network traffic,"Giuseppe Bianchi, Simone Teofili, Matteo Pomposini",24,ids,frequency
2008,Automatic feature selection for anomaly detection,"Marius Kloft, Ulf Brefeld, Patrick Düssel, Christian Gehl, Pavel Laskov",46,ids,model
2008,Using Density-Based Incremental Clustering for Anomaly Detection,"Fei Ren, Liang Hu, Hao Liang, Xiaobo Liu, Weiwu Ren",24,ids,cluster
2008,A Kalman Filter Based Approach for Outlier Detection in Sensor Networks,"Meng Shuai, Kunqing Xie, Guanhua Chen, Xiuli Ma, Guojie Song",24,sense,likelihood
2008,Learning object motion patterns for anomaly detection and improved object detection,"Arslan Basharat, Alexei Gritai, Mubarak Shah",278,remote,likelihood
2008,Anomaly-Based Intrusion Detection Using Bayesian Networks.,Wojciech Tylman,27,ids,likelihood
2008,Anomaly? application change? or workload change? towards automated detection of application performance anomaly and change,"Ludmila Cherkasova, Kivanc M. Ozonat, Ningfang Mi, Julie Symons, Evgenia Smirni",115,fault,model
2008,Spatiotemporal Anomaly Detection in Gas Monitoring Sensor Networks,"X. Rosalind Wang, Joseph T. Lizier, Oliver Obst, Mikhail Prokopenko, Peter Wang",71,sense,likelihood
2008,Efficient Clustering-Based Outlier Detection Algorithm for Dynamic Data Stream,"Manzoor Elahi, Kun Li, Wasif Nisar, Xinjie Lv, Hongan Wang",70,cross,cluster
2008,Clustering-Based Outlier Detection Method,"Sheng-yi Jiang, Qing-bo An",58,cross,cluster
2008,Anomaly detection for sea surveillance,Rikard Laxhammar,106,gis,likelihood
2008,Statistical analysis of motion patterns in AIS Data: Anomaly detection and motion prediction,"Branko Ristic, Barbara F. La Scala, Mark R. Morelande, Neil J. Gordon",206,gis,likelihood
2008,Improving maritime anomaly detection and situation awareness through interactive visualization,"Maria Riveiro, Göran Falkman, Tom Ziemke",71,gis,likelihood
2008,CESVM: Centered Hyperellipsoidal Support Vector Machine Based Anomaly Detection,"Sutharshan Rajasegarar, Christopher Leckie, Marimuthu Palaniswami",24,cross,model
2008,Trajectory Outlier Detection: A Partition-and-Detect Framework,"Jae-Gil Lee, Jiawei Han, Xiaolei Li",335,cross,similarity
2008,Comparative Evaluation of Anomaly Detection Techniques for Sequence Data,"Varun Chandola, Varun Mithal, Vipin Kumar",85,cross,n/a
2008,Inlier-Based Outlier Detection via Direct Density Ratio Estimation,"Shohei Hido, Yuta Tsuboi, Hisashi Kashima, Masashi Sugiyama, Takafumi Kanamori",64,cross,likelihood
2008,Anomaly Detection Algorithms in Business Process Logs,"Fábio de Lima Bezerra, Jacques Wainer",27,others,frequency
2008,Incorporation of Application Layer Protocol Syntax into Anomaly Detection,"Patrick Düssel, Christian Gehl, Pavel Laskov, Konrad Rieck",36,ids,similarity
2008,Multiple-Window Anomaly Detection for Hyperspectral Imagery,"Weimin Liu, Chein-I Chang",35,remote,model
2008,Fast parallel outlier detection for categorical datasets using MapReduce,"Anna Koufakou, Jimmy Secretan, John Reeder, Kelvin Cardona, Michael Georgiopoulos",34,cross,frequency
2008,An empirical evaluation of entropy-based traffic anomaly detection,"George Nychis, Vyas Sekar, David G. Andersen, Hyong Kim, Hui Zhang",299,ids,likelihood
2008,Distributed Spatial Anomaly Detection,"Parminder Chhabra, Clayton D. Scott, Eric D. Kolaczyk, Mark Crovella",72,ids,likelihood
2008,Using Echo State Networks for Anomaly Detection in Underground Coal Mines,"Oliver Obst, X. Rosalind Wang, Mikhail Prokopenko",23,sense,model
2008,Anomaly detection algorithm based on life pattern extraction from accumulated pyroelectric sensor data,"Taketoshi Mori, Ryo Urushibata, Masamichi Shimosaka, Hiroshi Noguchi, Tomomasa Sato",27,health,likelihood
2008,Outlier Detection Techniques for Process Mining Applications,"Lucantonio Ghionna, Gianluigi Greco, Antonella Guzzo, Luigi Pontieri",27,others,cluster
2008,Production Multivariate Outlier Detection Using Principal Components,Peter M. O'Neill,32,cross,model
2008,Anomaly pattern detection in categorical datasets,"Kaustav Das, Jeff G. Schneider, Daniel B. Neill",96,cross,likelihood
2008,Angle-based outlier detection in high-dimensional data,"Hans-Peter Kriegel, Matthias Schubert, Arthur Zimek",352,cross,similarity
2008,Spatio-temporal Outlier Detection in Precipitation Data,"Elizabeth Wu, Wei Liu, Sanjay Chawla",45,gis,similarity
2008,Local peculiarity factor and its application in outlier detection,"Jian Yang, Ning Zhong, Yiyu Yao, Jue Wang",33,cross,likelihood
2008,Monitoring smartphones for anomaly detection,"Aubrey-Derrick Schmidt, Frank Peters, Florian Lamour, Sahin Albayrak",193,ids,model
2008,Efficient Direct Density Ratio Estimation for Non-stationarity Adaptation and Outlier Detection,"Takafumi Kanamori, Shohei Hido, Masashi Sugiyama",67,cross,likelihood
2008,A Two-Layered Anomaly Detection Technique Based on Multi-modal Flow Behavior Models,"Marc Ph. Stoecklin, Jean-Yves Le Boudec, Andreas Kind",33,ids,frequency
2008,Anomaly detection algorithms in logs of process aware systems,"Fábio de Lima Bezerra, Jacques Wainer",26,others,frequency
2008,An anomaly intrusion detection method using the CSI-KNN algorithm,"Liwei Kuang, Mohammad Zulkernine",38,ids,similarity
2008,TCM-KNN scheme for network anomaly detection using feature-based optimizations,"Yang Li, Li Guo",21,ids,similarity
2008,Outlier Detection with Uncertain Data,"Charu C. Aggarwal, Philip S. Yu",172,cross,likelihood
2008,Outlier Detection for Transaction Databases Using Association Rules,"Kazuyo Narita, Hiroyuki Kitagawa",29,cross,rule
2008,Web graph similarity for anomaly detection,"Panagiotis Papadimitriou, Ali Dasdan, Hector Garcia-Molina",145,cross,similarity
2009,Network Anomaly Detection with Incomplete Audit Data,Animesh Patcha,43,ids,likelihood
2009,Cluster-based outlier detection,"Lian Duan, Lida Xu, Ying Liu, Jun Lee",119,cross,cluster
2009,A fuzzy vector valued KNN-algorithm for automatic outlier detection,Ralf Östermark,20,cross,similarity
2009,Statistical quality assessment and outlier detection for liquid chromatography-mass spectrometry experiments,"Ole Schulz-Trieglaff, Egidijus Machtejevas, Knut Reinert, Hartmut Schlüter, Joachim Thiemann, Klaus Unger",25,health,model
2009,McPAD: A multiple classifier system for accurate payload-based anomaly detection,"Roberto Perdisci, Davide Ariu, Prahlad Fogla, Giorgio Giacinto, Wenke Lee",216,ids,model
2009,"Anomaly-based network intrusion detection: Techniques, systems and challenges","Pedro Garcia-Teodoro, Jesús E. Díaz-Verdejo, Gabriel Maciá-Fernández, Enrique Vázquez",1054,ids,n/a
2009,Robust probabilistic PCA with missing data and contribution analysis for outlier detection,"Tao Chen, Elaine B. Martin, Gary A. Montague",61,cross,model
2009,Anomaly detection: A survey,"Varun Chandola, Arindam Banerjee, Vipin Kumar",5105,cross,n/a
2009,Network Anomaly Detection Based on Wavelet Analysis,"Wei Lu, Ali A. Ghorbani",156,ids,model
2009,Some issues about outlier detection in rough set theory,"Feng Jiang, Yuefei Sui, Cungen Cao",48,cross,similarity
2009,Projected outlier detection in high-dimensional mixed-attributes data set,"Mao Ye, Xue Li, Maria E. Orlowska",41,cross,similarity
2009,Unsupervised Anomaly Detection for Liquid-Fueled Rocket Propulsion Health Monitoring,"Mark Schwabacher, Nikunj C. Oza, Bryan L. Matthews",31,fault,n/a
2009,Subtractive Clustering Based RBF Neural Network Model for Outlier Detection,"Peng Yang, Qingsheng Zhu, Xun Zhong",32,cross,model
2009,Reducing errors in the anomaly-based detection of web-based attacks through the combined analysis of web requests and SQL queries,"Giovanni Vigna, Fredrik Valeur, Davide Balzarotti, William K. Robertson, Christopher Kruegel, Engin Kirda",58,ids,likelihood
2009,A program-based anomaly intrusion detection scheme using multiple detection engines and fuzzy inference,"Xuan Dau Hoang, Jiankun Hu, Peter Bertók",97,ids,likelihood
2009,Real-time anomaly detection in hyperspectral images using multivariate normal mixture models and GPU processing,"Yuliya Tarabalka, Trym Vegard Haavardsholm, Ingebjørg Kåsen, Torbjørn Skauli",111,cross,likelihood
2009,Spectral Unmixing With Negative and Superunity Abundances for Subpixel Anomaly Detection,"Olga Duran, Maria Petrou",33,remote,cluster
2009,Network anomaly detection and classification via opportunistic sampling,"Georgios Androulidakis, Vasilis Chatzigiannakis, Symeon Papavassiliou",97,ids,likelihood
2009,A simple and efficient hidden Markov model scheme for host-based anomaly intrusion detection,"Jiankun Hu, Xinghuo Yu, D. Qiu, Hsiao-Hwa Chen",123,ids,likelihood
2009,Accurate anomaly detection through parallelism,"Shashank Shanbhag, Tilman Wolf",33,ids,frequency
2009,Outlier Detection with the Kernelized Spatial Depth Function,"Yixin Chen, Xin Dang, Hanxiang Peng, Henry L. Bart Jr",94,cross,likelihood
2009,Hypergraph-Based Anomaly Detection of High-Dimensional Co-Occurrences,"Jorge G. Silva, Rebecca Willett",36,ids,likelihood
2009,A Small Sphere and Large Margin Approach for Novelty Detection Using Training Data with Outliers,"Mingrui Wu, Jieping Ye",161,cross,model
2009,A boundary method for outlier detection based on support vector domain description,"Shu-Mei Guo, Li-Chun Chen, Jason Sheng Hong Tsai",90,cross,model
2009,Review and comparative evaluation of symbolic dynamic filtering for detection of anomaly patterns,"Chinmay Rao, Asok Ray, Soumik Sarkar, Murat Yasar",118,cross,likelihood
2009,Snake Validation: A PCA-Based Outlier Detection Method,"Baidya Nath Saha, Nilanjan Ray, Hong Zhang",20,cross,model
2009,Histogram-based traffic anomaly detection,"Andreas Kind, Marc Ph. Stoecklin, Xenofontas A. Dimitropoulos",157,ids,model
2009,Automated anomaly detection and performance modeling of enterprise applications,"Ludmila Cherkasova, Kivanc M. Ozonat, Ningfang Mi, Julie Symons, Evgenia Smirni",79,fault,model
2009,Spatio-temporal network anomaly detection by assessing deviations of empirical measures,"Ioannis Ch. Paschalidis, Georgios Smaragdakis",83,ids,likelihood
2009,A large-scale hidden semi-Markov model for anomaly detection on user browsing behaviors,"Yi Xie, Shun-Zheng Yu",224,ids,likelihood
2009,Anomaly Detection and Diagnosis Algorithms for Discrete Symbol Sequences with Applications to Airline Safety,"Suratna Budalakoti, Ashok N. Srivastava, Matthew Eric Otey",110,cross,cluster
2009,Anomaly Detection via Feature-Aided Tracking and Hidden Markov Models,"Satnam Singh, Haiying Tu, William Donat, Krishna R. Pattipati, Peter Willett",45,cross,likelihood
2009,A Dynamic Anomaly Detection Scheme for AODV-Based Mobile Ad Hoc Networks,"Hidehisa Nakayama, Satoshi Kurosawa, Abbas Jamalipour, Yoshiaki Nemoto, Nei Kato",126,ids,model
2009,Interactive Visualization of Normal Behavioral Models and Expert Rules for Maritime Anomaly Detection,"Maria Riveiro, Göran Falkman",25,gis,likelihood
2009,Distance-Based Outlier Detection on Uncertain Data,"Bin Wang, Gang Xiao, Hao Yu, Xiaochun Yang",57,cross,similarity
2009,Network Anomaly Detection Based on Statistical Approach and Time Series Analysis,"Huang Kai, Qi Zhengwei, Liu Bo",20,ids,likelihood
2009,Adaptive and Online One-Class Support Vector Machine-Based Outlier Detection Techniques for Wireless Sensor Networks,"Yang Zhang, Nirvana Meratnia, Paul J. M. Havinga",71,sense,model
2009,Anomaly Detection Using Process Mining,"Fábio de Lima Bezerra, Jacques Wainer, Wil M. P. van der Aalst",48,others,model
2009,Cyber-Critical Infrastructure Protection Using Real-Time Payload-Based Anomaly Detection,"Patrick Düssel, Christian Gehl, Pavel Laskov, Jens-Uwe Bußer, Christof Störmann, Jan Kästner",49,ids,similarity
2009,Anomaly detection in extremely crowded scenes using spatio-temporal motion pattern models,"Louis Kratz, Ko Nishino",511,remote,likelihood
2009,Mote-Based Online Anomaly Detection Using Echo State Networks,"Marcus Chang, Andreas Terzis, Philippe Bonnet",25,sense,model
2009,Selecting and Improving System Call Models for Anomaly Detection,"Alessandro Frossi, Federico Maggi, Gian Luigi Rizzo, Stefano Zanero",39,ids,model
2009,Comparing anomaly-detection algorithms for keystroke dynamics,"Kevin S. Killourhy, Roy A. Maxion",381,ids,n/a
2009,Leveraging Determinism in Industrial Control Systems for Advanced Anomaly Detection and Reliable Security Configuration,"Hadeli Hadeli, Ragnar Schierholz, Markus Brändle, Cristian Tuduce",45,ids,rule
2009,Efficient Signal Processing and Anomaly Detection in Wireless Sensor Networks,"Markus Wälchli, Torsten Braun",23,sense,model
2009,Anomaly detection in sea traffic - A comparison of the Gaussian Mixture Model and the Kernel Density Estimator,"Rikard Laxhammar, Göran Falkman, Egils Sviestins",112,gis,likelihood
2009,Online Anomaly Detection Using KDE,Tarem Ahmed,38,ids,likelihood
2009,A Distribution-Based Approach to Anomaly Detection and Application to 3G Mobile Traffic,"Alessandro D'Alconzo, Angelo Coluccia, Fabio Ricciato, Peter Romirer-Maierhofer",44,sense,likelihood
2009,T Cell Receptor Signalling Inspired Kernel Density Estimation and Anomaly Detection,"Nick D. L. Owens, Andrew J. Greensted, Jon Timmis, Andrew M. Tyrrell",30,cross,likelihood
2009,Combining Hidden Markov Models for Improved Anomaly Detection,"Wael Khreich, Eric Granger, Robert Sabourin, Ali Miri",31,ids,likelihood
2009,Temporal Outlier Detection in Vehicle Traffic Data,"Xiaolei Li, Zhenhui Li, Jiawei Han, Jae-Gil Lee",110,gis,similarity
